id,gene,chrom,chromStart,chromEnd,strand,gene_length
ENSG00000127603.22,MACF1,chr1,39081316,39487177,+,405862
ENSG00000198216.9,CACNA1E,chr1,181413102,181808084,+,394983
ENSG00000134215.14,VAV3,chr1,107571160,107965144,-,393985
ENSG00000075391.15,RASAL2,chr1,178094141,178484147,+,390007
ENSG00000162687.15,KCNT2,chr1,196225779,196609225,-,383447
ENSG00000116183.9,PAPPA2,chr1,176463171,176845605,+,382435
ENSG00000075151.18,EIF4G3,chr1,20806292,21176888,-,370597
ENSG00000142611.15,PRDM16,chr1,3069168,3438621,+,369454
ENSG00000117020.15,AKT3,chr1,243488233,243851079,-,362847
ENSG00000054392.11,HHAT,chr1,210328252,210676296,+,348045
ENSG00000259030.5,FPGT-TNNI3K,chr1,74198235,74543982,+,345748
ENSG00000185630.17,PBX1,chr1,164555584,164899296,+,343713
ENSG00000162631.17,NTNG1,chr1,107140007,107483458,+,343452
ENSG00000143776.17,CDC42BPA,chr1,226989865,227318474,-,328610
ENSG00000135749.17,PCNXL2,chr1,232983435,233295713,-,312279
ENSG00000116783.13,TNNI3K,chr1,74235401,74544428,+,309028
ENSG00000152092.14,ASTN1,chr1,176857302,177164973,-,307672
ENSG00000143786.6,CNIH3,chr1,224434660,224740549,+,305890
ENSG00000198929.11,NOS1AP,chr1,162069774,162370475,+,300702
ENSG00000081026.17,MAGI3,chr1,113390749,113685923,+,295175
ENSG00000143344.14,RGL1,chr1,183636085,183928531,+,292447
ENSG00000162415.6,ZSWIM5,chr1,45016399,45306209,-,289811
ENSG00000137936.15,BCAR3,chr1,93561786,93847150,-,285365
ENSG00000067208.13,EVI5,chr1,92508696,92792404,-,283709
ENSG00000048707.12,VPS13D,chr1,12230067,12512047,+,281981
ENSG00000154027.17,AK5,chr1,77282051,77559969,+,277919
ENSG00000196660.9,SLC30A10,chr1,219685427,219958647,-,273221
ENSG00000213047.10,DENND1B,chr1,197504748,197775696,-,270949
ENSG00000117154.10,IGSF21,chr1,18107746,18378483,+,270738
ENSG00000143207.18,RFWD2,chr1,175944831,176207493,-,262663
ENSG00000266028.6,SRGAP2,chr1,206203345,206464443,+,261099
ENSG00000153904.17,DDAH1,chr1,85318481,85578363,-,259883
ENSG00000143324.12,XPR1,chr1,180632004,180890251,+,258248
ENSG00000086015.19,MAST2,chr1,45786987,46036124,+,249138
ENSG00000187147.16,RNF220,chr1,44405194,44651724,+,246531
ENSG00000054282.14,SDCCAG8,chr1,243256034,243500092,+,244059
ENSG00000077157.19,PPP1R12B,chr1,202348699,202592706,+,244008
ENSG00000116667.11,C1orf21,chr1,184387058,184629020,+,241963
ENSG00000162814.9,SPATA17,chr1,217631324,217871696,+,240373
ENSG00000178104.18,PDE4DIP,chr1,148808181,149048286,+,240106
ENSG00000163873.8,GRIK3,chr1,36795527,37034129,-,238603
ENSG00000122420.8,PTGFR,chr1,78303884,78539749,+,235866
ENSG00000143156.12,NME7,chr1,169132531,169367967,-,235437
ENSG00000116641.14,DOCK7,chr1,62454728,62688368,-,233641
ENSG00000143469.15,SYT14,chr1,209938174,210171315,+,233142
ENSG00000159023.17,EPB41,chr1,28887091,29120046,+,232956
ENSG00000058453.15,CROCC,chr1,16740273,16972979,+,232707
ENSG00000060718.17,COL11A1,chr1,102876467,103108496,-,232030
ENSG00000174332.4,GLIS1,chr1,53506237,53738106,-,231870
ENSG00000155761.12,SPAG17,chr1,117953861,118185223,-,231363
ENSG00000082482.12,KCNK2,chr1,215005775,215237093,+,231319
ENSG00000116539.9,ASH1L,chr1,155335268,155562807,-,227540
ENSG00000069702.9,TGFBR3,chr1,91680343,91906335,-,225993
ENSG00000126091.18,ST3GAL3,chr1,43705824,43931165,+,225342
ENSG00000143641.9,GALNT2,chr1,230057990,230282124,+,224135
ENSG00000136643.10,RPS6KC1,chr1,213051233,213274773,+,223541
ENSG00000143669.12,LYST,chr1,235661041,235883640,-,222600
ENSG00000158966.12,CACHD1,chr1,64470792,64693058,+,222267
ENSG00000076356.6,PLXNA2,chr1,208022242,208244320,-,222079
ENSG00000117859.17,OSBPL9,chr1,51577179,51798427,+,221249
ENSG00000116678.17,LEPR,chr1,65420652,65641559,+,220908
ENSG00000171385.8,KCND3,chr1,111770662,111989155,-,218494
ENSG00000010803.15,SCMH1,chr1,41027200,41242154,-,214955
ENSG00000118473.20,SGIP1,chr1,66533383,66748299,+,214917
ENSG00000143248.11,RGS5,chr1,163111121,163321791,-,210671
ENSG00000133216.15,EPHB2,chr1,22710839,22921500,+,210662
ENSG00000134376.13,CRB1,chr1,197268204,197478455,+,210252
ENSG00000143190.20,POU2F1,chr1,167220829,167427345,+,206517
ENSG00000157077.13,ZFYVE9,chr1,52142094,52346686,+,204593
ENSG00000092978.9,GPATCH2,chr1,217426992,217631082,-,204091
ENSG00000134369.14,NAV1,chr1,201622885,201826969,+,204085
ENSG00000152104.10,PTPN14,chr1,214348696,214552449,-,203754
ENSG00000117069.13,ST6GALNAC5,chr1,76867441,77065711,+,198271
ENSG00000118217.5,ATF6,chr1,161766294,161964070,+,197777
ENSG00000116191.16,RALGPS2,chr1,178725147,178921841,+,196695
ENSG00000054267.19,ARID4B,chr1,235131634,235328219,-,196586
ENSG00000050628.19,PTGER3,chr1,70852353,71047808,-,195456
ENSG00000153936.15,HS2ST1,chr1,86914648,87109998,+,195351
ENSG00000118733.15,OLFM3,chr1,101802574,101997030,-,194457
ENSG00000163531.14,NFASC,chr1,204828651,205022822,+,194172
ENSG00000000460.15,C1orf112,chr1,169662007,169854080,+,192074
ENSG00000186409.13,CCDC30,chr1,42463330,42654664,+,191335
ENSG00000162779.19,AXDND1,chr1,179365720,179554735,+,189016
ENSG00000157216.14,SSBP3,chr1,54225432,54413479,-,188048
ENSG00000179397.16,C1orf101,chr1,244454377,244641177,+,186801
ENSG00000135842.15,FAM129A,chr1,184790724,184974550,-,183827
ENSG00000132122.10,SPATA6,chr1,48295372,48472208,-,176837
ENSG00000116473.13,RAP1A,chr1,111542218,111716691,+,174474
ENSG00000143603.17,KCNN3,chr1,154697455,154870280,-,172826
ENSG00000162620.14,LRRIQ3,chr1,74026015,74198187,-,172173
ENSG00000054523.15,KIF1B,chr1,10210805,10381603,+,170799
ENSG00000154358.18,OBSCN,chr1,228208130,228378876,+,170747
ENSG00000157064.9,NMNAT2,chr1,183248237,183418602,-,170366
ENSG00000117643.13,MAN1C1,chr1,25617468,25786207,+,168740
ENSG00000079335.16,CDC14A,chr1,100351734,100520277,+,168544
ENSG00000116675.14,DNAJC6,chr1,65248219,65415869,+,167651
ENSG00000154380.15,ENAH,chr1,225486835,225653142,-,166308
ENSG00000215912.10,TTC34,chr1,2635976,2801721,-,165746
ENSG00000151414.13,NEK7,chr1,198156963,198322420,+,165458
ENSG00000085832.15,EPS15,chr1,51354263,51519328,-,165066
ENSG00000075945.11,KIFAP3,chr1,169921326,170085208,-,163883
ENSG00000196071.3,OR2L13,chr1,247937191,248100922,+,163732
ENSG00000116991.9,SIPA1L2,chr1,232397965,232561558,-,163594
ENSG00000143552.8,NUP210L,chr1,153992685,154155116,-,162432
ENSG00000198162.11,MAN1A2,chr1,117367449,117528872,+,161424
ENSG00000142875.18,PRKACB,chr1,84078062,84238498,+,160437
ENSG00000135837.14,CEP350,chr1,179954738,180114880,+,160143
ENSG00000130940.13,CASZ1,chr1,10636604,10796650,-,160047
ENSG00000116711.9,PLA2G4A,chr1,186828953,186988981,+,160029
ENSG00000198815.7,FOXJ3,chr1,42176539,42335877,-,159339
ENSG00000137960.5,GIPC2,chr1,77979542,78138449,+,158908
ENSG00000143850.11,PLEKHA6,chr1,204218851,204377665,-,158815
ENSG00000142655.11,PEX14,chr1,10472288,10630758,+,158471
ENSG00000134250.16,NOTCH2,chr1,119911553,120069626,-,158074
ENSG00000074964.15,ARHGEF10L,chr1,17539835,17697874,+,158040
ENSG00000203666.11,EFCAB2,chr1,244969705,245127164,+,157460
ENSG00000162733.15,DDR2,chr1,162631373,162787400,+,156028
ENSG00000198793.11,MTOR,chr1,11106535,11262507,-,155973
ENSG00000162374.15,ELAVL4,chr1,50048014,50203786,+,155773
ENSG00000162761.13,LMX1A,chr1,165201867,165356715,-,154849
ENSG00000146463.10,ZMYM4,chr1,35268967,35422058,+,153092
ENSG00000142621.18,FHAD1,chr1,15247272,15400283,+,153012
ENSG00000142856.15,ITGB3BP,chr1,63440770,63593721,-,152952
ENSG00000065243.17,PKN2,chr1,88684222,88836255,+,152034
ENSG00000162407.8,PPAP2B,chr1,56494747,56645301,-,150555
ENSG00000162843.16,WDR64,chr1,241652278,241802133,+,149856
ENSG00000116833.12,NR5A2,chr1,200027602,200177424,+,149823
ENSG00000162402.11,USP24,chr1,55066359,55215113,-,148755
ENSG00000130939.17,UBE4B,chr1,10032832,10181239,+,148408
ENSG00000270629.4,NBPF14,chr1,148531385,148679751,-,148367
ENSG00000070759.15,TESK2,chr1,45343883,45491166,-,147284
ENSG00000077549.16,CAPZB,chr1,19338776,19485539,-,146764
ENSG00000134744.12,ZCCHC11,chr1,52408282,52553487,-,145206
ENSG00000203710.9,CR1,chr1,207496147,207640647,+,144501
ENSG00000162669.14,HFM1,chr1,91260766,91404869,-,144104
ENSG00000143502.13,SUSD4,chr1,223220819,223364202,-,143384
ENSG00000198765.10,SYCP1,chr1,114854803,114995370,+,140568
ENSG00000143164.14,DCAF6,chr1,167935783,168075843,+,140061
ENSG00000203963.10,C1orf141,chr1,67092165,67231853,-,139689
ENSG00000276911.1,CFHR2,chr1,196819745,196959210,+,139466
ENSG00000196581.9,AJAP1,chr1,4654732,4792534,+,137803
ENSG00000171488.13,LRRC8C,chr1,89633072,89769903,+,136832
ENSG00000186197.11,EDARADD,chr1,236348262,236484914,+,136653
ENSG00000116141.14,MARK1,chr1,220528183,220664461,+,136279
ENSG00000070785.15,EIF2B3,chr1,44850522,44986722,-,136201
ENSG00000127481.13,UBR4,chr1,19074506,19210276,-,135771
ENSG00000067606.14,PRKCZ,chr1,2050470,2185395,+,134926
ENSG00000116668.11,SWT1,chr1,185157080,185291765,+,134686
ENSG00000116729.12,WLS,chr1,68098473,68233120,-,134648
ENSG00000134644.14,PUM1,chr1,30931506,31065991,-,134486
ENSG00000117419.13,ERI3,chr1,44221070,44355260,-,134191
ENSG00000137941.15,TTLL7,chr1,83865028,83999150,-,134123
ENSG00000162643.11,WDR63,chr1,84999147,85133138,+,133992
ENSG00000154309.8,DISP1,chr1,222872271,223005995,+,133725
ENSG00000162434.10,JAK1,chr1,64833229,64966504,-,133276
ENSG00000135747.10,ZNF670,chr1,246945547,247078811,-,133265
ENSG00000172380.5,GNG12,chr1,67701466,67833467,-,132002
ENSG00000134371.9,CDC73,chr1,193122017,193253901,+,131885
ENSG00000162600.10,OMA1,chr1,58415384,58546802,-,131419
ENSG00000143702.14,CEP170,chr1,243124428,243255348,-,130921
ENSG00000204138.11,PHACTR4,chr1,28369603,28500369,+,130767
ENSG00000142892.13,PIGK,chr1,77088990,77219430,-,130441
ENSG00000143322.18,ABL2,chr1,179099327,179229684,-,130358
ENSG00000097021.18,ACOT7,chr1,6264269,6394391,-,130123
ENSG00000131697.16,NPHP4,chr1,5862811,5992473,-,129663
ENSG00000271092.4,TMEM56-RWDD3,chr1,95117923,95247225,+,129303
ENSG00000154511.10,FAM69A,chr1,92832737,92961522,-,128786
ENSG00000198691.10,ABCA4,chr1,93992835,94121132,-,128298
ENSG00000117298.13,ECE1,chr1,21217247,21345504,-,128258
ENSG00000203697.10,CAPN8,chr1,223538007,223665734,-,127728
ENSG00000137962.11,ARHGAP29,chr1,94148988,94275068,-,126081
ENSG00000116698.19,SMG7,chr1,183472216,183598246,+,126031
ENSG00000133067.16,LGR6,chr1,202193901,202319781,+,125881
ENSG00000116731.21,PRDM2,chr1,13700198,13825079,+,124882
ENSG00000116171.15,SCP2,chr1,52927229,53051703,+,124475
ENSG00000142687.16,KIAA0319L,chr1,35433490,35557950,-,124461
ENSG00000118873.14,RAB3GAP2,chr1,220148293,220272454,-,124162
ENSG00000180875.4,GREM2,chr1,240489573,240612149,-,122577
ENSG00000135862.5,LAMC1,chr1,183023460,183145592,+,122133
ENSG00000162591.14,MEGF6,chr1,3489920,3611495,-,121576
ENSG00000118200.13,CAMSAP2,chr1,200739558,200860704,+,121147
ENSG00000036549.11,ZZZ3,chr1,77562416,77683419,-,121004
ENSG00000143858.10,SYT2,chr1,202590596,202710417,-,119822
ENSG00000081237.17,PTPRC,chr1,198638671,198757283,+,118613
ENSG00000197323.9,TRIM33,chr1,114392777,114511160,-,118384
ENSG00000158161.14,EYA3,chr1,27970344,28088696,-,118353
ENSG00000143614.7,GATAD2B,chr1,153804725,153922975,-,118251
ENSG00000232423.4,PRAMEF6,chr1,12938472,13056491,-,118020
ENSG00000009709.10,PAX7,chr1,18631006,18748866,+,117861
ENSG00000162542.12,TMCO4,chr1,19682213,19799945,-,117733
ENSG00000058668.13,ATP2B4,chr1,203626561,203744081,+,117521
ENSG00000162618.11,ELTD1,chr1,78889764,79006718,-,116955
ENSG00000057468.6,MSH4,chr1,75796882,75913238,+,116357
ENSG00000171492.13,LRRC8D,chr1,89821014,89936611,+,115598
ENSG00000213240.8,NOTCH2NL,chr1,146113652,146229000,-,115349
ENSG00000142798.15,HSPG2,chr1,21822245,21937297,-,115053
ENSG00000117598.10,LPPR5,chr1,98890245,99005032,-,114788
ENSG00000181450.16,ZNF678,chr1,227563543,227677443,+,113901
ENSG00000163125.14,RPRD2,chr1,150363091,150476566,+,113476
ENSG00000152763.15,WDR78,chr1,66812885,66924887,-,112003
ENSG00000177614.8,PGBD5,chr1,230314482,230425729,-,111248
ENSG00000132694.17,ARHGEF11,chr1,156934840,157045370,-,110531
ENSG00000121446.16,RGSL1,chr1,182450121,182560599,+,110479
ENSG00000116580.17,GON4L,chr1,155749662,155859400,-,109739
ENSG00000069424.13,KCNAB2,chr1,5991466,6101193,+,109728
ENSG00000188859.6,FAM78B,chr1,166057426,166166969,-,109544
ENSG00000116874.10,WARS2,chr1,119031216,119140671,-,109456
ENSG00000116984.11,MTR,chr1,236795281,236903981,+,108701
ENSG00000117523.14,PRRC2C,chr1,171485551,171593511,+,107961
ENSG00000143772.8,ITPKB,chr1,226631690,226739323,-,107634
ENSG00000134686.15,PHC2,chr1,33323623,33431052,-,107430
ENSG00000183853.16,KIRREL,chr1,157993273,158100262,+,106990
ENSG00000122482.19,ZNF644,chr1,90915298,91022272,-,106975
ENSG00000117395.9,EBNA1BP2,chr1,43164175,43270936,-,106762
ENSG00000137942.15,FNBP1L,chr1,93448131,93554661,+,106531
ENSG00000092607.12,TBX15,chr1,118883046,118989556,-,106511
ENSG00000078369.16,GNB1,chr1,1785285,1891117,-,105833
ENSG00000037637.9,FBXO42,chr1,16246839,16352454,-,105616
ENSG00000090686.14,USP48,chr1,21678298,21783606,-,105309
ENSG00000143199.16,ADCY10,chr1,167809388,167914215,-,104828
ENSG00000143183.15,TMCO1,chr1,165724293,165827755,-,103463
ENSG00000122484.8,RPAP2,chr1,92298965,92402056,+,103092
ENSG00000168243.9,GNG4,chr1,235547687,235650754,-,103068
ENSG00000143748.16,NVL,chr1,224227334,224330387,-,103054
ENSG00000162852.12,CNST,chr1,246566444,246668584,+,102141
ENSG00000117569.17,PTBP2,chr1,96721665,96823738,+,102074
ENSG00000187889.11,C1orf168,chr1,56718804,56819696,-,100893
ENSG00000162378.11,ZYG11B,chr1,52726467,52827342,+,100876
ENSG00000117528.10,ABCD3,chr1,94418455,94518666,+,100212
ENSG00000179172.8,HNRNPCL1,chr1,12847377,12947578,-,100202
ENSG00000180488.13,FAM73A,chr1,77779624,77879539,+,99916
ENSG00000162782.14,TDRD5,chr1,179591613,179691272,+,99660
ENSG00000169504.13,CLIC4,chr1,24745357,24844324,+,98968
ENSG00000122483.16,CCDC18,chr1,93179919,93278730,+,98812
ENSG00000162627.15,SNX7,chr1,98661701,98760500,+,98800
ENSG00000172339.9,ALG14,chr1,94974407,95072945,-,98539
ENSG00000142949.15,PTPRF,chr1,43525187,43623666,+,98480
ENSG00000092969.10,TGFB2,chr1,218346235,218444619,+,98385
ENSG00000072694.17,FCGR2B,chr1,161581311,161678654,+,97344
ENSG00000007341.17,ST7L,chr1,112523518,112620825,-,97308
ENSG00000162390.16,ACOT11,chr1,54542257,54639192,+,96936
ENSG00000000971.14,CFH,chr1,196651878,196747504,+,95627
ENSG00000171603.15,CLSTN1,chr1,9729026,9824526,-,95501
ENSG00000186086.15,NBPF6,chr1,108375799,108471002,+,95204
ENSG00000143493.11,INTS7,chr1,211940399,212035542,-,95144
ENSG00000118454.11,ANKRD13C,chr1,70260588,70354734,-,94147
ENSG00000169641.12,LUZP1,chr1,23084023,23177808,-,93786
ENSG00000162594.13,IL23R,chr1,67166400,67259979,+,93580
ENSG00000163393.11,SLC22A15,chr1,115976498,116070054,+,93557
ENSG00000143061.16,IGSF3,chr1,116574399,116667755,-,93357
ENSG00000197721.15,CR1L,chr1,207645113,207738416,+,93304
ENSG00000123843.11,C4BPB,chr1,207006845,207099993,+,93149
ENSG00000116299.15,KIAA1324,chr1,109113679,109206781,+,93103
ENSG00000117461.13,PIK3R3,chr1,46040140,46133036,-,92897
ENSG00000153207.13,AHCTF1,chr1,246839098,246931978,-,92881
ENSG00000065526.9,SPEN,chr1,15847864,15940460,+,92597
ENSG00000203943.7,SAMD13,chr1,84298366,84389957,+,91592
ENSG00000135870.10,RC3H1,chr1,173931214,174022297,-,91084
ENSG00000060656.18,PTPRU,chr1,29236516,29326813,+,90298
ENSG00000163050.15,ADCK3,chr1,226897536,226987545,+,90010
ENSG00000078618.18,NRD1,chr1,51789191,51878937,-,89747
ENSG00000244057.3,LCE3C,chr1,152511535,152601086,+,89552
ENSG00000081985.9,IL12RB2,chr1,67307364,67396900,+,89537
ENSG00000116962.13,NID1,chr1,235975830,236065162,-,89333
ENSG00000143228.11,NUF2,chr1,163266576,163355764,+,89189
ENSG00000134243.10,SORT1,chr1,109309568,109397951,-,88384
ENSG00000162437.13,RAVER2,chr1,64745095,64833232,+,88138
ENSG00000198821.9,CD247,chr1,167430640,167518610,-,87971
ENSG00000059588.8,TARBP1,chr1,234391313,234479103,-,87791
ENSG00000248333.6,CDK11B,chr1,1635227,1722818,-,87592
ENSG00000175984.13,DENND2C,chr1,114582848,114670422,-,87575
ENSG00000123684.11,LPGAT1,chr1,211743457,211830772,-,87316
ENSG00000054277.11,OPN3,chr1,241590102,241677376,-,87275
ENSG00000143376.11,SNX27,chr1,151612065,151699091,+,87027
ENSG00000162598.12,C1orf87,chr1,59987269,60073770,-,86502
ENSG00000204084.11,INPP5B,chr1,37860697,37947057,-,86361
ENSG00000117713.16,ARID1A,chr1,26696033,26782104,+,86072
ENSG00000158195.9,WASF2,chr1,27404226,27490158,-,85933
ENSG00000157193.13,LRP8,chr1,53242364,53328070,-,85707
ENSG00000162695.10,SLC30A7,chr1,100896076,100981753,+,85678
ENSG00000265491.4,RNF115,chr1,145738868,145824077,-,85210
ENSG00000117139.15,KDM5B,chr1,202724491,202809470,-,84980
ENSG00000162636.14,FAM102B,chr1,108560089,108644900,+,84812
ENSG00000116128.8,BCL9,chr1,147541412,147626216,+,84805
ENSG00000163568.12,AIM2,chr1,159062484,159147096,-,84613
ENSG00000162433.13,AK4,chr1,65147549,65232145,+,84597
ENSG00000092621.10,PHGDH,chr1,119659798,119744215,+,84418
ENSG00000143179.11,UCK2,chr1,165827531,165911618,+,84088
ENSG00000078900.13,TP73,chr1,3652520,3736201,+,83682
ENSG00000169213.6,RAB3B,chr1,51907956,51990764,-,82809
ENSG00000132854.17,KANK4,chr1,62236979,62319414,-,82436
ENSG00000266094.5,RASSF5,chr1,206507530,206589283,+,81754
ENSG00000171517.5,LPAR3,chr1,84811602,84893213,-,81612
ENSG00000116957.11,TBCE,chr1,235367360,235448968,+,81609
ENSG00000157933.9,SKI,chr1,2228695,2310119,+,81425
ENSG00000125703.13,ATG4C,chr1,62784135,62865513,+,81379
ENSG00000054118.12,THRAP3,chr1,36224416,36305357,+,80942
ENSG00000120949.13,TNFRSF8,chr1,12063377,12144207,+,80831
ENSG00000121933.16,ADORA3,chr1,111483348,111563962,-,80615
ENSG00000134247.9,PTGFRN,chr1,116910057,116990358,+,80302
ENSG00000152078.8,TMEM56,chr1,95117338,95197607,+,80270
ENSG00000271425.5,NBPF10,chr1,146064699,146144942,-,80244
ENSG00000120332.14,TNN,chr1,175067858,175148066,+,80209
ENSG00000066136.18,NFYC,chr1,40691570,40771603,+,80034
ENSG00000143195.11,ILDR2,chr1,166895711,166975482,-,79772
ENSG00000149527.16,PLCH2,chr1,2425980,2505530,+,79551
ENSG00000117000.8,RLF,chr1,40161373,40240921,+,79549
ENSG00000077585.12,GPR137B,chr1,236142505,236221865,+,79361
ENSG00000184677.15,ZBTB40,chr1,22451851,22531157,+,79307
ENSG00000183814.14,LIN9,chr1,226231149,226309869,-,78721
ENSG00000084070.10,SMAP2,chr1,40344850,40423326,+,78477
ENSG00000116254.16,CHD5,chr1,6101793,6180123,-,78331
ENSG00000077522.11,ACTN2,chr1,236686454,236764631,+,78178
ENSG00000136628.16,EPRS,chr1,219968601,220046658,-,78058
ENSG00000136631.11,VPS45,chr1,150067293,150145327,+,78035
ENSG00000171608.14,PIK3CD,chr1,9651732,9729114,+,77383
ENSG00000163485.14,ADORA1,chr1,203090654,203167405,+,76752
ENSG00000116132.10,PRRX1,chr1,170662728,170739419,+,76692
ENSG00000171621.12,SPSB1,chr1,9292880,9369532,+,76653
ENSG00000066027.10,PPP2R5A,chr1,212285537,212361863,+,76327
ENSG00000198771.9,RCSD1,chr1,167630093,167706249,+,76157
ENSG00000163554.10,SPTA1,chr1,158610706,158686698,-,75993
ENSG00000186007.8,LEMD1,chr1,205381378,205457091,-,75714
ENSG00000196734.7,LCE1B,chr1,152737518,152813109,+,75592
ENSG00000197852.9,FAM212B,chr1,111680630,111755824,-,75195
ENSG00000143036.15,SLC44A3,chr1,94820342,94895246,+,74905
ENSG00000162909.16,CAPN2,chr1,223701593,223776018,+,74426
ENSG00000142784.14,WDTC1,chr1,27234516,27308633,+,74118
ENSG00000162688.14,AGL,chr1,99850084,99924023,+,73940
ENSG00000135845.8,PIGC,chr1,172370189,172444086,-,73898
ENSG00000076864.18,RAP1GAP,chr1,21596215,21669363,-,73149
ENSG00000004455.15,AK2,chr1,33007940,33080996,-,73057
ENSG00000081248.9,CACNA1S,chr1,201039512,201112566,-,73055
ENSG00000143340.6,FAM163A,chr1,179743163,179816198,+,73036
ENSG00000197147.11,LRRC8B,chr1,89524836,89597864,+,73029
ENSG00000264522.4,OTUD7B,chr1,149937812,150010676,-,72865
ENSG00000143643.11,TTC13,chr1,230906243,230978875,-,72633
ENSG00000198734.9,F5,chr1,169514166,169586588,-,72423
ENSG00000133056.12,PIK3C2B,chr1,204422628,204494724,-,72097
ENSG00000085433.14,WDR47,chr1,108970214,109042113,-,71900
ENSG00000143476.16,DTL,chr1,212035553,212107400,+,71848
ENSG00000076321.9,KLHL20,chr1,173714941,173786702,+,71762
ENSG00000116396.12,KCNC4,chr1,110211343,110283100,+,71758
ENSG00000117148.7,ACTL8,chr1,17755313,17827063,+,71751
ENSG00000084072.15,PPIE,chr1,39692182,39763914,+,71733
ENSG00000153898.11,MCOLN2,chr1,84925583,84997113,-,71531
ENSG00000088035.14,ALG6,chr1,63367590,63438562,+,70973
ENSG00000197965.10,MPZL1,chr1,167721192,167791919,+,70728
ENSG00000116151.12,MORN1,chr1,2321253,2391707,-,70455
ENSG00000126705.12,AHDC1,chr1,27534035,27604431,-,70397
ENSG00000162409.9,PRKAA2,chr1,56645322,56715335,+,70014
ENSG00000189409.11,MMP23B,chr1,1632095,1701810,+,69716
ENSG00000065135.8,GNAI3,chr1,109548611,109618321,+,69711
ENSG00000204178.8,TMEM57,chr1,25430858,25500209,+,69352
ENSG00000118193.10,KIF14,chr1,200551497,200620734,-,69238
ENSG00000133059.15,DSTYK,chr1,205142505,205211566,-,69062
ENSG00000162551.12,ALPL,chr1,21509372,21578412,+,69041
ENSG00000118729.11,CASQ2,chr1,115700007,115768781,-,68775
ENSG00000134365.11,CFHR4,chr1,196850241,196918972,+,68732
ENSG00000170382.10,LRRN2,chr1,204617170,204685733,-,68564
ENSG00000025800.12,KPNA6,chr1,32108038,32176568,+,68531
ENSG00000090020.9,SLC9A1,chr1,27098815,27166981,-,68167
ENSG00000069248.11,NUP133,chr1,229440260,229508341,-,68082
ENSG00000121766.13,ZCCHC17,chr1,31296982,31364953,+,67972
ENSG00000171729.12,TMEM51,chr1,15152532,15220480,+,67949
ENSG00000188672.15,RHCE,chr1,25362249,25430192,-,67944
ENSG00000007923.14,DNAJC11,chr1,6634168,6701924,-,67757
ENSG00000131781.11,FMO5,chr1,147175351,147243050,-,67700
ENSG00000189195.8,BTBD8,chr1,92080305,92147836,+,67532
ENSG00000134258.15,VTCN1,chr1,117143587,117210960,-,67374
ENSG00000073754.5,CD5L,chr1,157830914,157898256,-,67343
ENSG00000143079.13,CTTNBP2NL,chr1,112396181,112463456,+,67276
ENSG00000143437.19,ARNT,chr1,150809705,150876768,-,67064
